Query,n of total hits,n of nontarget,half n of total hits,Taxon dist HGT
scaffold152-size147932-gene-0.13,20,1.0,10.0,False
scaffold152-size147932-gene-0.14,20,0.0,10.0,False
scaffold152-size147932-gene-0.15,4,1.0,2.0,False
scaffold152-size147932-gene-0.17,3,0.0,1.5,False
scaffold152-size147932-gene-0.19,18,0.0,9.0,False
scaffold152-size147932-gene-0.2,19,0.0,9.5,False
scaffold152-size147932-gene-0.20,19,0.0,9.5,False
scaffold152-size147932-gene-0.21,21,0.0,10.5,False
scaffold152-size147932-gene-0.22,18,15.0,9.0,True
scaffold152-size147932-gene-0.23,10,3.0,5.0,False
scaffold152-size147932-gene-0.24,23,15.0,11.5,True
scaffold152-size147932-gene-0.26,25,0.0,12.5,False
scaffold152-size147932-gene-0.27,20,0.0,10.0,False
scaffold152-size147932-gene-0.3,24,20.0,12.0,True
scaffold152-size147932-gene-0.4,16,13.0,8.0,True
scaffold152-size147932-gene-0.5,19,15.0,9.5,True
scaffold152-size147932-gene-0.6,22,18.0,11.0,True
scaffold153-size143897-gene-0.4,13,1.0,6.5,False
scaffold153-size143897-gene-0.7,19,19.0,9.5,True
scaffold154-size256776-gene-1.10,22,16.0,11.0,True
scaffold154-size256776-gene-1.11,4,0.0,2.0,False
scaffold154-size256776-gene-1.12,12,11.0,6.0,True
scaffold154-size256776-gene-1.13,20,7.0,10.0,False
scaffold154-size256776-gene-1.16,6,6.0,3.0,True
scaffold154-size256776-gene-1.19,19,19.0,9.5,True
scaffold154-size256776-gene-1.6,17,0.0,8.5,False
scaffold154-size256776-gene-1.9,19,0.0,9.5,False
scaffold155-size229062-gene-0.0,1,0.0,0.5,False
scaffold155-size229062-gene-0.1,17,0.0,8.5,False
scaffold155-size229062-gene-0.2,18,0.0,9.0,False
scaffold155-size229062-gene-0.4,16,1.0,8.0,False
scaffold155-size229062-gene-0.6,13,10.0,6.5,True
scaffold155-size229062-gene-0.7,20,0.0,10.0,False
scaffold155-size229062-gene-0.8,2,0.0,1.0,False
scaffold155-size229062-gene-1.2,19,0.0,9.5,False
scaffold155-size229062-gene-1.3,16,0.0,8.0,False
scaffold156-size178006-gene-0.0,1,0.0,0.5,False
scaffold156-size178006-gene-0.2,7,5.0,3.5,True
scaffold157-size268525-gene-0.16,19,0.0,9.5,False
scaffold157-size268525-gene-0.17,1,1.0,0.5,True
scaffold157-size268525-gene-0.18,1,0.0,0.5,False
scaffold157-size268525-gene-0.19,18,0.0,9.0,False
scaffold157-size268525-gene-0.20,6,1.0,3.0,False
scaffold157-size268525-gene-0.21,21,1.0,10.5,False
scaffold157-size268525-gene-0.22,20,19.0,10.0,True
scaffold157-size268525-gene-0.26,18,0.0,9.0,False
scaffold157-size268525-gene-0.27,22,22.0,11.0,True
scaffold157-size268525-gene-0.28,21,21.0,10.5,True
scaffold157-size268525-gene-0.29,13,10.0,6.5,True
scaffold157-size268525-gene-0.32,24,0.0,12.0,False
scaffold157-size268525-gene-0.33,17,10.0,8.5,True
scaffold157-size268525-gene-0.34,24,0.0,12.0,False
scaffold157-size268525-gene-0.35,10,0.0,5.0,False
scaffold157-size268525-gene-1.7,2,0.0,1.0,False
scaffold158-size123750-gene-0.6,19,19.0,9.5,True
scaffold158-size123750-gene-0.7,21,0.0,10.5,False
scaffold159-size205375-gene-0.2,18,0.0,9.0,False
scaffold159-size205375-gene-0.5,14,0.0,7.0,False
scaffold159-size205375-gene-0.6,2,0.0,1.0,False
scaffold159-size205375-gene-1.0,19,1.0,9.5,False
scaffold159-size205375-gene-1.14,5,0.0,2.5,False
scaffold159-size205375-gene-1.15,14,0.0,7.0,False
scaffold159-size205375-gene-1.3,5,0.0,2.5,False
scaffold16-size476290-gene-0.14,22,17.0,11.0,True
scaffold16-size476290-gene-0.15,13,0.0,6.5,False
scaffold16-size476290-gene-0.19,16,0.0,8.0,False
scaffold16-size476290-gene-0.20,17,0.0,8.5,False
scaffold16-size476290-gene-0.21,23,1.0,11.5,False
scaffold16-size476290-gene-0.22,24,1.0,12.0,False
scaffold16-size476290-gene-0.24,18,0.0,9.0,False
scaffold16-size476290-gene-0.26,19,15.0,9.5,True
scaffold16-size476290-gene-0.27,1,0.0,0.5,False
scaffold16-size476290-gene-0.28,20,16.0,10.0,True
scaffold16-size476290-gene-0.29,18,0.0,9.0,False
scaffold16-size476290-gene-0.30,21,0.0,10.5,False
scaffold16-size476290-gene-1.36,2,0.0,1.0,False
scaffold16-size476290-gene-1.37,8,0.0,4.0,False
scaffold16-size476290-gene-1.38,19,0.0,9.5,False
scaffold16-size476290-gene-1.39,22,13.0,11.0,True
scaffold16-size476290-gene-1.40,21,0.0,10.5,False
scaffold16-size476290-gene-1.41,22,16.0,11.0,True
scaffold16-size476290-gene-1.43,21,1.0,10.5,False
scaffold16-size476290-gene-1.44,1,0.0,0.5,False
scaffold16-size476290-gene-1.46,1,0.0,0.5,False
scaffold16-size476290-gene-1.47,23,0.0,11.5,False
scaffold16-size476290-gene-1.49,24,0.0,12.0,False
scaffold16-size476290-gene-1.50,17,0.0,8.5,False
scaffold16-size476290-gene-1.51,18,0.0,9.0,False
scaffold16-size476290-gene-1.52,23,0.0,11.5,False
scaffold16-size476290-gene-1.53,17,0.0,8.5,False
scaffold16-size476290-gene-1.54,23,0.0,11.5,False
scaffold16-size476290-gene-1.55,11,0.0,5.5,False
scaffold16-size476290-gene-1.56,17,15.0,8.5,True
scaffold16-size476290-gene-1.61,1,0.0,0.5,False
scaffold16-size476290-gene-1.62,15,11.0,7.5,True
scaffold16-size476290-gene-1.63,1,0.0,0.5,False
scaffold16-size476290-gene-1.64,1,0.0,0.5,False
scaffold16-size476290-gene-1.68,19,13.0,9.5,True
scaffold16-size476290-gene-1.70,23,0.0,11.5,False
scaffold16-size476290-gene-2.32,20,0.0,10.0,False
scaffold16-size476290-gene-2.33,21,0.0,10.5,False
scaffold16-size476290-gene-2.36,14,0.0,7.0,False
scaffold16-size476290-gene-2.37,5,0.0,2.5,False
scaffold16-size476290-gene-2.39,19,2.0,9.5,False
scaffold16-size476290-gene-2.40,22,0.0,11.0,False
scaffold16-size476290-gene-2.42,1,0.0,0.5,False
scaffold16-size476290-gene-2.45,18,0.0,9.0,False
scaffold16-size476290-gene-2.47,22,1.0,11.0,False
scaffold16-size476290-gene-2.48,21,0.0,10.5,False
scaffold16-size476290-gene-2.49,20,0.0,10.0,False
scaffold16-size476290-gene-2.52,17,0.0,8.5,False
scaffold16-size476290-gene-2.53,18,0.0,9.0,False
scaffold16-size476290-gene-2.56,21,0.0,10.5,False
scaffold16-size476290-gene-2.58,6,0.0,3.0,False
scaffold16-size476290-gene-2.59,23,0.0,11.5,False
scaffold16-size476290-gene-2.60,19,17.0,9.5,True
scaffold16-size476290-gene-2.61,20,0.0,10.0,False
scaffold16-size476290-gene-2.62,18,0.0,9.0,False
scaffold16-size476290-gene-2.63,8,7.0,4.0,True
scaffold16-size476290-gene-2.64,16,0.0,8.0,False
scaffold16-size476290-gene-2.66,10,0.0,5.0,False
scaffold16-size476290-gene-2.68,16,15.0,8.0,True
scaffold16-size476290-gene-3.0,1,0.0,0.5,False
scaffold16-size476290-gene-3.1,19,1.0,9.5,False
scaffold16-size476290-gene-3.10,19,1.0,9.5,False
scaffold16-size476290-gene-3.12,21,0.0,10.5,False
scaffold16-size476290-gene-3.2,1,0.0,0.5,False
scaffold16-size476290-gene-3.3,12,0.0,6.0,False
scaffold16-size476290-gene-3.4,1,0.0,0.5,False
scaffold16-size476290-gene-3.5,6,0.0,3.0,False
scaffold16-size476290-gene-3.6,15,0.0,7.5,False
scaffold16-size476290-gene-3.8,15,0.0,7.5,False
scaffold160-size143844-gene-0.10,2,1.0,1.0,False
scaffold160-size143844-gene-0.15,14,0.0,7.0,False
scaffold160-size143844-gene-0.16,1,0.0,0.5,False
scaffold160-size143844-gene-0.18,8,0.0,4.0,False
scaffold160-size143844-gene-0.19,14,3.0,7.0,False
scaffold160-size143844-gene-0.5,14,12.0,7.0,True
scaffold160-size143844-gene-0.6,9,9.0,4.5,True
scaffold160-size143844-gene-0.8,20,20.0,10.0,True
scaffold160-size143844-gene-0.9,21,20.0,10.5,True
scaffold161-size154604-gene-0.3,2,0.0,1.0,False
scaffold162-size192478-gene-0.1,15,15.0,7.5,True
scaffold162-size192478-gene-0.3,5,4.0,2.5,True
scaffold162-size192478-gene-0.5,15,0.0,7.5,False
scaffold162-size192478-gene-0.7,6,0.0,3.0,False
scaffold163-size120786-gene-0.45,23,0.0,11.5,False
scaffold163-size120786-gene-0.46,2,0.0,1.0,False
scaffold163-size120786-gene-0.47,20,18.0,10.0,True
scaffold163-size120786-gene-0.48,6,0.0,3.0,False
scaffold163-size120786-gene-0.51,12,11.0,6.0,True
scaffold163-size120786-gene-0.52,21,0.0,10.5,False
scaffold163-size120786-gene-0.57,15,14.0,7.5,True
scaffold163-size120786-gene-0.58,1,0.0,0.5,False
scaffold163-size120786-gene-0.59,14,2.0,7.0,False
scaffold163-size120786-gene-0.60,22,20.0,11.0,True
scaffold163-size120786-gene-0.61,20,0.0,10.0,False
scaffold163-size120786-gene-0.63,13,1.0,6.5,False
scaffold163-size120786-gene-0.64,1,0.0,0.5,False
scaffold163-size120786-gene-0.66,15,0.0,7.5,False
scaffold163-size120786-gene-0.68,1,0.0,0.5,False
scaffold163-size120786-gene-0.72,21,0.0,10.5,False
scaffold163-size120786-gene-0.73,22,22.0,11.0,True
scaffold163-size120786-gene-0.74,1,0.0,0.5,False
scaffold163-size120786-gene-0.75,22,21.0,11.0,True
scaffold164-size154487-gene-0.0,23,0.0,11.5,False
scaffold164-size154487-gene-0.1,21,16.0,10.5,True
scaffold164-size154487-gene-0.3,11,3.0,5.5,False
scaffold164-size154487-gene-0.4,22,4.0,11.0,False
scaffold164-size154487-gene-0.7,6,5.0,3.0,True
scaffold164-size154487-gene-0.8,21,0.0,10.5,False
scaffold164-size154487-gene-0.9,1,0.0,0.5,False
scaffold165-size174083-gene-0.1,18,9.0,9.0,False
scaffold165-size174083-gene-0.10,16,0.0,8.0,False
scaffold165-size174083-gene-0.11,12,12.0,6.0,True
scaffold165-size174083-gene-0.12,18,0.0,9.0,False
scaffold165-size174083-gene-0.15,23,18.0,11.5,True
scaffold165-size174083-gene-0.17,23,15.0,11.5,True
scaffold165-size174083-gene-0.19,1,0.0,0.5,False
scaffold165-size174083-gene-0.2,1,0.0,0.5,False
scaffold165-size174083-gene-0.22,2,0.0,1.0,False
scaffold165-size174083-gene-0.26,23,20.0,11.5,True
scaffold165-size174083-gene-0.27,17,0.0,8.5,False
scaffold165-size174083-gene-0.3,10,0.0,5.0,False
scaffold165-size174083-gene-0.5,16,3.0,8.0,False
scaffold165-size174083-gene-0.8,19,0.0,9.5,False
scaffold165-size174083-gene-0.9,19,0.0,9.5,False
scaffold166-size120384-gene-0.33,9,0.0,4.5,False
scaffold166-size120384-gene-0.35,15,0.0,7.5,False
scaffold166-size120384-gene-0.36,1,0.0,0.5,False
scaffold166-size120384-gene-0.37,20,0.0,10.0,False
scaffold166-size120384-gene-0.39,19,0.0,9.5,False
scaffold166-size120384-gene-0.41,19,8.0,9.5,False
scaffold166-size120384-gene-0.42,2,0.0,1.0,False
scaffold166-size120384-gene-0.44,15,3.0,7.5,False
scaffold166-size120384-gene-0.46,10,0.0,5.0,False
scaffold166-size120384-gene-0.49,22,0.0,11.0,False
scaffold166-size120384-gene-0.50,19,19.0,9.5,True
scaffold166-size120384-gene-0.51,17,0.0,8.5,False
scaffold166-size120384-gene-0.52,24,0.0,12.0,False
scaffold166-size120384-gene-0.53,15,11.0,7.5,True
scaffold166-size120384-gene-0.54,7,0.0,3.5,False
scaffold166-size120384-gene-0.55,3,0.0,1.5,False
scaffold166-size120384-gene-0.56,16,15.0,8.0,True
scaffold166-size120384-gene-0.57,24,24.0,12.0,True
scaffold166-size120384-gene-0.58,1,0.0,0.5,False
scaffold166-size120384-gene-0.59,24,0.0,12.0,False
scaffold166-size120384-gene-0.60,21,0.0,10.5,False
scaffold166-size120384-gene-0.62,21,0.0,10.5,False
scaffold167-size166806-gene-0.0,1,0.0,0.5,False
scaffold167-size166806-gene-0.1,20,0.0,10.0,False
scaffold167-size166806-gene-0.12,16,0.0,8.0,False
scaffold167-size166806-gene-0.13,14,1.0,7.0,False
scaffold167-size166806-gene-0.3,16,0.0,8.0,False
scaffold167-size166806-gene-0.4,12,11.0,6.0,True
scaffold167-size166806-gene-0.7,1,0.0,0.5,False
scaffold168-size119650-gene-0.1,23,0.0,11.5,False
scaffold168-size119650-gene-0.10,11,0.0,5.5,False
scaffold168-size119650-gene-0.13,24,0.0,12.0,False
scaffold168-size119650-gene-0.14,1,0.0,0.5,False
scaffold168-size119650-gene-0.15,20,0.0,10.0,False
scaffold168-size119650-gene-0.16,22,21.0,11.0,True
scaffold168-size119650-gene-0.18,10,5.0,5.0,False
scaffold168-size119650-gene-0.3,20,15.0,10.0,True
scaffold168-size119650-gene-0.7,21,0.0,10.5,False
scaffold168-size119650-gene-0.8,22,0.0,11.0,False
scaffold168-size119650-gene-0.9,18,0.0,9.0,False
scaffold169-size507688-gene-0.11,16,0.0,8.0,False
scaffold169-size507688-gene-0.13,1,0.0,0.5,False
scaffold169-size507688-gene-0.16,23,1.0,11.5,False
scaffold169-size507688-gene-0.5,14,5.0,7.0,False
scaffold169-size507688-gene-0.8,2,0.0,1.0,False
scaffold169-size507688-gene-1.4,1,0.0,0.5,False
scaffold169-size507688-gene-1.5,15,0.0,7.5,False
scaffold169-size507688-gene-1.7,11,2.0,5.5,False
scaffold169-size507688-gene-2.12,18,0.0,9.0,False
scaffold169-size507688-gene-2.13,20,0.0,10.0,False
scaffold169-size507688-gene-2.14,20,0.0,10.0,False
scaffold169-size507688-gene-2.15,23,10.0,11.5,False
scaffold169-size507688-gene-2.16,1,0.0,0.5,False
scaffold169-size507688-gene-2.17,21,0.0,10.5,False
scaffold169-size507688-gene-2.20,21,17.0,10.5,True
scaffold169-size507688-gene-2.21,21,21.0,10.5,True
scaffold169-size507688-gene-2.22,22,8.0,11.0,False
scaffold169-size507688-gene-2.23,22,22.0,11.0,True
scaffold169-size507688-gene-2.26,22,22.0,11.0,True
scaffold169-size507688-gene-2.27,22,21.0,11.0,True
scaffold169-size507688-gene-2.28,23,0.0,11.5,False
scaffold169-size507688-gene-2.29,18,0.0,9.0,False
scaffold169-size507688-gene-2.30,19,14.0,9.5,True
scaffold169-size507688-gene-2.31,21,0.0,10.5,False
scaffold169-size507688-gene-2.32,23,0.0,11.5,False
scaffold169-size507688-gene-2.34,21,9.0,10.5,False
scaffold169-size507688-gene-2.36,14,1.0,7.0,False
scaffold169-size507688-gene-3.3,15,0.0,7.5,False
scaffold169-size507688-gene-3.5,24,24.0,12.0,True
scaffold169-size507688-gene-3.6,20,0.0,10.0,False
scaffold169-size507688-gene-3.7,22,1.0,11.0,False
scaffold169-size507688-gene-3.8,22,21.0,11.0,True
scaffold17-size620893-gene-0.8,1,0.0,0.5,False
scaffold17-size620893-gene-0.9,1,0.0,0.5,False
scaffold17-size620893-gene-1.2,2,1.0,1.0,False
scaffold17-size620893-gene-1.3,1,0.0,0.5,False
scaffold17-size620893-gene-1.6,3,2.0,1.5,True
scaffold17-size620893-gene-1.9,3,2.0,1.5,True
scaffold17-size620893-gene-2.0,20,20.0,10.0,True
scaffold17-size620893-gene-2.12,8,0.0,4.0,False
scaffold17-size620893-gene-2.14,1,0.0,0.5,False
scaffold17-size620893-gene-2.15,16,0.0,8.0,False
scaffold17-size620893-gene-2.16,24,22.0,12.0,True
scaffold17-size620893-gene-2.18,20,0.0,10.0,False
scaffold17-size620893-gene-2.2,1,0.0,0.5,False
scaffold17-size620893-gene-2.20,21,0.0,10.5,False
scaffold17-size620893-gene-2.4,23,16.0,11.5,True
scaffold17-size620893-gene-2.5,18,0.0,9.0,False
scaffold17-size620893-gene-2.7,6,0.0,3.0,False
scaffold17-size620893-gene-2.8,22,6.0,11.0,False
scaffold17-size620893-gene-2.9,2,0.0,1.0,False
scaffold17-size620893-gene-3.26,23,0.0,11.5,False
scaffold17-size620893-gene-3.27,3,0.0,1.5,False
scaffold17-size620893-gene-3.28,21,0.0,10.5,False
scaffold17-size620893-gene-3.29,3,0.0,1.5,False
scaffold17-size620893-gene-3.30,3,1.0,1.5,False
scaffold17-size620893-gene-3.32,20,0.0,10.0,False
scaffold17-size620893-gene-3.33,20,2.0,10.0,False
scaffold17-size620893-gene-3.34,21,20.0,10.5,True
scaffold17-size620893-gene-3.35,2,0.0,1.0,False
scaffold17-size620893-gene-3.36,15,0.0,7.5,False
scaffold17-size620893-gene-3.37,24,23.0,12.0,True
scaffold17-size620893-gene-3.38,23,22.0,11.5,True
scaffold17-size620893-gene-3.39,23,0.0,11.5,False
scaffold17-size620893-gene-3.40,19,0.0,9.5,False
scaffold17-size620893-gene-3.44,10,0.0,5.0,False
scaffold17-size620893-gene-3.45,21,0.0,10.5,False
scaffold17-size620893-gene-3.46,20,0.0,10.0,False
scaffold17-size620893-gene-3.49,21,0.0,10.5,False
scaffold17-size620893-gene-3.50,21,0.0,10.5,False
scaffold17-size620893-gene-3.51,19,0.0,9.5,False
scaffold17-size620893-gene-3.52,18,0.0,9.0,False
scaffold17-size620893-gene-3.55,24,0.0,12.0,False
scaffold17-size620893-gene-3.57,19,5.0,9.5,False
scaffold17-size620893-gene-3.58,22,3.0,11.0,False
scaffold17-size620893-gene-3.59,11,0.0,5.5,False
scaffold17-size620893-gene-3.60,6,0.0,3.0,False
scaffold17-size620893-gene-3.61,1,0.0,0.5,False
scaffold17-size620893-gene-3.62,1,0.0,0.5,False
scaffold17-size620893-gene-3.64,11,0.0,5.5,False
scaffold17-size620893-gene-4.28,21,16.0,10.5,True
scaffold17-size620893-gene-4.29,20,18.0,10.0,True
scaffold17-size620893-gene-4.31,20,0.0,10.0,False
scaffold17-size620893-gene-4.34,18,0.0,9.0,False
scaffold17-size620893-gene-4.36,19,0.0,9.5,False
scaffold17-size620893-gene-4.37,19,0.0,9.5,False
scaffold17-size620893-gene-4.38,14,12.0,7.0,True
scaffold17-size620893-gene-4.39,2,0.0,1.0,False
scaffold17-size620893-gene-4.41,19,0.0,9.5,False
scaffold17-size620893-gene-4.42,22,18.0,11.0,True
scaffold17-size620893-gene-4.43,23,22.0,11.5,True
scaffold17-size620893-gene-4.45,1,0.0,0.5,False
scaffold17-size620893-gene-4.48,21,4.0,10.5,False
scaffold17-size620893-gene-4.49,20,0.0,10.0,False
scaffold17-size620893-gene-4.50,22,0.0,11.0,False
scaffold17-size620893-gene-4.52,19,0.0,9.5,False
scaffold17-size620893-gene-4.53,15,0.0,7.5,False
scaffold17-size620893-gene-4.54,15,0.0,7.5,False
scaffold17-size620893-gene-4.55,14,0.0,7.0,False
scaffold17-size620893-gene-4.56,22,0.0,11.0,False
scaffold17-size620893-gene-4.57,17,1.0,8.5,False
scaffold17-size620893-gene-4.59,1,0.0,0.5,False
scaffold17-size620893-gene-4.62,22,18.0,11.0,True
scaffold17-size620893-gene-5.31,20,0.0,10.0,False
scaffold17-size620893-gene-5.32,21,0.0,10.5,False
scaffold17-size620893-gene-5.33,14,0.0,7.0,False
scaffold17-size620893-gene-5.35,22,0.0,11.0,False
scaffold17-size620893-gene-5.36,22,0.0,11.0,False
scaffold17-size620893-gene-5.38,6,0.0,3.0,False
scaffold17-size620893-gene-5.39,18,0.0,9.0,False
scaffold17-size620893-gene-5.40,15,0.0,7.5,False
scaffold17-size620893-gene-5.41,18,0.0,9.0,False
scaffold17-size620893-gene-5.42,21,0.0,10.5,False
scaffold17-size620893-gene-5.47,24,18.0,12.0,True
scaffold17-size620893-gene-5.48,22,0.0,11.0,False
scaffold17-size620893-gene-5.49,18,0.0,9.0,False
scaffold17-size620893-gene-5.50,22,0.0,11.0,False
scaffold17-size620893-gene-5.51,23,22.0,11.5,True
scaffold17-size620893-gene-5.52,22,1.0,11.0,False
scaffold17-size620893-gene-5.53,22,1.0,11.0,False
scaffold17-size620893-gene-5.54,22,2.0,11.0,False
scaffold17-size620893-gene-5.55,3,0.0,1.5,False
scaffold17-size620893-gene-5.56,6,0.0,3.0,False
scaffold17-size620893-gene-5.57,6,0.0,3.0,False
scaffold17-size620893-gene-5.58,22,0.0,11.0,False
scaffold17-size620893-gene-5.60,7,0.0,3.5,False
scaffold170-size216677-gene-0.3,18,9.0,9.0,False
scaffold170-size216677-gene-0.4,22,0.0,11.0,False
scaffold171-size139111-gene-0.0,17,14.0,8.5,True
scaffold171-size139111-gene-0.11,19,18.0,9.5,True
scaffold171-size139111-gene-0.12,22,1.0,11.0,False
scaffold171-size139111-gene-0.14,19,0.0,9.5,False
scaffold171-size139111-gene-0.16,23,6.0,11.5,False
scaffold171-size139111-gene-0.2,19,18.0,9.5,True
scaffold171-size139111-gene-0.3,13,10.0,6.5,True
scaffold171-size139111-gene-0.5,19,0.0,9.5,False
scaffold171-size139111-gene-0.6,23,0.0,11.5,False
scaffold171-size139111-gene-0.7,20,0.0,10.0,False
scaffold171-size139111-gene-0.8,21,0.0,10.5,False
scaffold172-size117674-gene-0.2,1,0.0,0.5,False
scaffold172-size117674-gene-0.5,12,0.0,6.0,False
scaffold172-size117674-gene-0.7,1,0.0,0.5,False
scaffold172-size117674-gene-0.9,3,0.0,1.5,False
scaffold173-size117467-gene-0.0,9,0.0,4.5,False
scaffold173-size117467-gene-0.1,20,0.0,10.0,False
scaffold173-size117467-gene-0.5,6,0.0,3.0,False
scaffold173-size117467-gene-0.6,2,0.0,1.0,False
scaffold174-size115846-gene-0.11,1,0.0,0.5,False
scaffold174-size115846-gene-0.13,15,15.0,7.5,True
scaffold174-size115846-gene-0.6,20,16.0,10.0,True
scaffold174-size115846-gene-0.7,15,1.0,7.5,False
scaffold174-size115846-gene-0.8,16,0.0,8.0,False
scaffold174-size115846-gene-0.9,15,0.0,7.5,False
scaffold175-size133308-gene-0.4,4,3.0,2.0,True
scaffold176-size115040-gene-0.4,1,0.0,0.5,False
scaffold176-size115040-gene-0.7,1,0.0,0.5,False
scaffold176-size115040-gene-0.8,1,0.0,0.5,False
scaffold177-size114777-gene-0.0,12,0.0,6.0,False
scaffold177-size114777-gene-0.11,1,0.0,0.5,False
scaffold177-size114777-gene-0.4,1,0.0,0.5,False
scaffold177-size114777-gene-0.7,21,10.0,10.5,False
scaffold177-size114777-gene-0.8,9,0.0,4.5,False
scaffold178-size114406-gene-0.18,17,0.0,8.5,False
scaffold178-size114406-gene-0.19,3,0.0,1.5,False
scaffold178-size114406-gene-0.20,1,0.0,0.5,False
scaffold178-size114406-gene-0.21,10,1.0,5.0,False
scaffold178-size114406-gene-0.22,1,0.0,0.5,False
scaffold178-size114406-gene-0.24,22,21.0,11.0,True
scaffold178-size114406-gene-0.25,22,0.0,11.0,False
scaffold178-size114406-gene-0.27,1,0.0,0.5,False
scaffold178-size114406-gene-0.28,1,0.0,0.5,False
scaffold178-size114406-gene-0.29,1,0.0,0.5,False
scaffold178-size114406-gene-0.31,15,0.0,7.5,False
scaffold178-size114406-gene-0.33,6,0.0,3.0,False
scaffold178-size114406-gene-0.34,1,0.0,0.5,False
scaffold178-size114406-gene-0.36,16,0.0,8.0,False
scaffold178-size114406-gene-0.37,1,0.0,0.5,False
scaffold178-size114406-gene-0.38,22,17.0,11.0,True
scaffold178-size114406-gene-0.39,17,17.0,8.5,True
scaffold178-size114406-gene-0.40,12,0.0,6.0,False
scaffold178-size114406-gene-0.41,20,0.0,10.0,False
scaffold18-size540755-gene-0.10,8,0.0,4.0,False
scaffold18-size540755-gene-0.11,12,0.0,6.0,False
scaffold18-size540755-gene-0.16,20,16.0,10.0,True
scaffold18-size540755-gene-0.3,1,0.0,0.5,False
scaffold18-size540755-gene-0.6,1,0.0,0.5,False
scaffold18-size540755-gene-0.7,1,0.0,0.5,False
scaffold18-size540755-gene-0.8,1,0.0,0.5,False
scaffold18-size540755-gene-0.9,16,0.0,8.0,False
scaffold18-size540755-gene-1.5,1,0.0,0.5,False
scaffold18-size540755-gene-1.7,21,13.0,10.5,True
scaffold18-size540755-gene-1.8,17,4.0,8.5,False
scaffold18-size540755-gene-2.10,11,0.0,5.5,False
scaffold18-size540755-gene-2.11,23,17.0,11.5,True
scaffold18-size540755-gene-2.12,1,0.0,0.5,False
scaffold18-size540755-gene-2.13,17,17.0,8.5,True
scaffold18-size540755-gene-2.17,4,3.0,2.0,True
scaffold18-size540755-gene-2.3,19,18.0,9.5,True
scaffold18-size540755-gene-2.5,21,0.0,10.5,False
scaffold18-size540755-gene-2.6,19,18.0,9.5,True
scaffold18-size540755-gene-2.7,1,0.0,0.5,False
scaffold18-size540755-gene-2.8,23,0.0,11.5,False
scaffold18-size540755-gene-2.9,16,1.0,8.0,False
scaffold18-size540755-gene-3.10,17,10.0,8.5,True
scaffold18-size540755-gene-3.11,1,0.0,0.5,False
scaffold18-size540755-gene-3.3,19,0.0,9.5,False
scaffold18-size540755-gene-3.5,5,0.0,2.5,False
scaffold18-size540755-gene-4.2,9,6.0,4.5,True
scaffold18-size540755-gene-4.3,22,18.0,11.0,True
scaffold18-size540755-gene-4.8,20,20.0,10.0,True
scaffold180-size140593-gene-0.0,21,14.0,10.5,True
scaffold180-size140593-gene-0.10,20,0.0,10.0,False
scaffold180-size140593-gene-0.9,21,20.0,10.5,True
scaffold181-size162570-gene-0.13,20,17.0,10.0,True
scaffold181-size162570-gene-0.14,22,15.0,11.0,True
scaffold181-size162570-gene-0.16,23,15.0,11.5,True
scaffold181-size162570-gene-0.17,20,8.0,10.0,False
scaffold181-size162570-gene-0.18,2,0.0,1.0,False
scaffold181-size162570-gene-0.19,1,0.0,0.5,False
scaffold181-size162570-gene-0.21,24,0.0,12.0,False
scaffold181-size162570-gene-0.25,1,0.0,0.5,False
scaffold181-size162570-gene-0.26,1,0.0,0.5,False
scaffold181-size162570-gene-0.4,5,0.0,2.5,False
scaffold181-size162570-gene-0.5,16,0.0,8.0,False
scaffold181-size162570-gene-0.7,20,1.0,10.0,False
scaffold181-size162570-gene-0.8,17,15.0,8.5,True
scaffold182-size228418-gene-0.0,18,0.0,9.0,False
scaffold182-size228418-gene-0.2,1,0.0,0.5,False
scaffold182-size228418-gene-0.3,3,0.0,1.5,False
scaffold182-size228418-gene-1.29,1,0.0,0.5,False
scaffold182-size228418-gene-1.31,1,0.0,0.5,False
scaffold182-size228418-gene-1.32,3,0.0,1.5,False
scaffold182-size228418-gene-1.33,1,0.0,0.5,False
scaffold182-size228418-gene-1.34,13,6.0,6.5,False
scaffold182-size228418-gene-1.35,18,16.0,9.0,True
scaffold182-size228418-gene-1.36,7,0.0,3.5,False
scaffold182-size228418-gene-1.37,15,2.0,7.5,False
scaffold182-size228418-gene-1.38,1,0.0,0.5,False
scaffold182-size228418-gene-1.42,18,12.0,9.0,True
scaffold182-size228418-gene-1.43,23,0.0,11.5,False
scaffold182-size228418-gene-1.45,17,0.0,8.5,False
scaffold182-size228418-gene-1.46,15,0.0,7.5,False
scaffold182-size228418-gene-1.47,22,0.0,11.0,False
scaffold182-size228418-gene-1.48,12,8.0,6.0,True
scaffold182-size228418-gene-1.50,18,18.0,9.0,True
scaffold182-size228418-gene-1.52,1,0.0,0.5,False
scaffold182-size228418-gene-1.53,21,1.0,10.5,False
scaffold182-size228418-gene-1.55,20,0.0,10.0,False
scaffold182-size228418-gene-1.56,19,17.0,9.5,True
scaffold182-size228418-gene-1.57,13,11.0,6.5,True
scaffold182-size228418-gene-1.58,21,0.0,10.5,False
scaffold182-size228418-gene-1.59,13,0.0,6.5,False
scaffold182-size228418-gene-1.60,2,0.0,1.0,False
scaffold182-size228418-gene-1.61,22,0.0,11.0,False
